Name,Loaded As,Matrix,Operation,Run type,Thread count,Millis
double-1000X1000-custom-uni-50-threads,complex,uni_dimensional_array_backed,custom,threaded,50,127
double-1000X1000-custom-uni-2-threads,double,uni_dimensional_array_backed,custom,threaded,2,34
double-1000X1000-custom-uni-4-threads,double,uni_dimensional_array_backed,custom,threaded,4,22
double-1000X1000-custom-uni-6-threads,double,uni_dimensional_array_backed,custom,threaded,6,30
double-1000X1000-custom-uni-8-threads,double,uni_dimensional_array_backed,custom,threaded,8,19
double-1000X1000-custom-bi-linear,double,bi_dimensional_array_backed,custom,linear,null,59
double-1000X1000-custom-bi-50-threads,double,bi_dimensional_array_backed,custom,threaded,50,90
double-1000X1000-custom-bi-2-threads,double,bi_dimensional_array_backed,custom,threaded,2,70
double-1000X1000-custom-bi-4-threads,double,bi_dimensional_array_backed,custom,threaded,4,104
double-1000X1000-custom-bi-6-threads,double,bi_dimensional_array_backed,custom,threaded,6,56
double-1000X1000-custom-bi-8-threads,double,bi_dimensional_array_backed,custom,threaded,8,67
complex-1000X1000-custom-uni-linear,complex,uni_dimensional_array_backed,custom,linear,null,91
complex-1000X1000-custom-uni-50-threads,complex,uni_dimensional_array_backed,custom,threaded,50,107
complex-1000X1000-custom-uni-2-threads,complex,uni_dimensional_array_backed,custom,threaded,2,133
complex-1000X1000-custom-uni-4-threads,complex,uni_dimensional_array_backed,custom,threaded,4,103
complex-1000X1000-custom-uni-6-threads,complex,uni_dimensional_array_backed,custom,threaded,6,129
complex-1000X1000-custom-uni-8-threads,complex,uni_dimensional_array_backed,custom,threaded,8,64
complex-1000X1000-custom-bi-linear,complex,bi_dimensional_array_backed,custom,linear,null,82
complex-1000X1000-custom-bi-50-threads,complex,bi_dimensional_array_backed,custom,threaded,50,86
complex-1000X1000-custom-bi-2-threads,complex,bi_dimensional_array_backed,custom,threaded,2,65
complex-1000X1000-custom-bi-4-threads,complex,bi_dimensional_array_backed,custom,threaded,4,91
complex-1000X1000-custom-bi-6-threads,complex,bi_dimensional_array_backed,custom,threaded,6,115
complex-1000X1000-custom-bi-8-threads,complex,bi_dimensional_array_backed,custom,threaded,8,90
